word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
bulging,adjective,1.07e-06,0.988307455835249,sticking out,0.8638387195874037,D.H. Lawrence,28,Sons and Lovers,1913,"Row was a block of thatched, bulging cottages that stood by","Row was a block of thatched, sticking out cottages that stood by",Metaphor?
scarcely,adverb,2.14e-06,0.997806737170416,hardly,0.952765120473355,D.H. Lawrence,28,Sons and Lovers,1913,"brook ran under the alder trees, scarcely soiled by these small","brook ran under the alder trees, hardly soiled by these small",Metaphor?
donkeys,noun,4.17e-06,0.9594393760202282,asses,0.7966397599521611,D.H. Lawrence,28,Sons and Lovers,1913,was drawn to the surface by donkeys that plodded wearily in,was drawn to the surface by asses that plodded wearily in,Metaphor?
plodded,verb,1.86e-07,0.9868643851569707,pounded,0.8566921539876343,D.H. Lawrence,28,Sons and Lovers,1913,to the surface by donkeys that plodded wearily in a circle,to the surface by donkeys that pounded wearily in a circle,Metaphor?
wearily,adverb,2.19e-07,0.9891643004573752,slow,0.7961685448886279,D.H. Lawrence,28,Sons and Lovers,1913,the surface by donkeys that plodded wearily in a circle round,the surface by donkeys that plodded slow in a circle round,Metaphor?
donkeys,noun,4.17e-06,0.9834741298747302,asses,0.7966397599521611,D.H. Lawrence,28,Sons and Lovers,1913,"II, the few colliers and the donkeys burrowing down like ants","II, the few colliers and the asses burrowing down like ants",Metaphor?
mounds,noun,3.98e-06,0.9882399935164782,piles,0.8594489314674758,D.H. Lawrence,28,Sons and Lovers,1913,"ants into the earth, making queer mounds and little black places","ants into the earth, making queer piles and little black places",Metaphor?
quadrangles,noun,6.76e-07,0.9838285903626891,yards,0.8126237265415405,D.H. Lawrence,28,Sons and Lovers,1913,"and Co. built the Squares, great quadrangles of dwellings on the","and Co. built the Squares, great yards of dwellings on the",Metaphor?
erected,verb,3.31e-06,0.9934633593436778,put up,0.8547060621363693,D.H. Lawrence,28,Sons and Lovers,1913,"valley, on the site of Hell Row, they erected the Bottoms.","valley, on the site of Hell Row, they put up the Bottoms.",Metaphor?
wives,verb,5.62e-08,0.9938725065296614,women,0.8997145284141516,D.H. Lawrence,28,Sons and Lovers,1913,"uninhabited parlours of all the colliers' wives. The dwelling-room, the kitchen,","uninhabited parlours of all the colliers' women. The dwelling-room, the kitchen,",Metaphor?
inward,adverb,2.34e-06,0.9903176694675099,inside,0.867400365076149,D.H. Lawrence,28,Sons and Lovers,1913,"the back of the house, facing inward between the blocks, looking","the back of the house, facing inside between the blocks, looking",Metaphor?
