word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
assiduously,adverb,2.75e-07,0.9871915798610762,hard,0.8090682734643461,D.H. Lawrence,30,The Rainbow,1915,of the little country town climbing assiduously up to it. Whenever,of the little country town climbing hard up to it. Whenever,Metaphor?
surety,noun,6.61e-07,0.988059733527397,guarantee,0.8878021761056257,D.H. Lawrence,30,The Rainbow,1915,"come to them, a kind of surety, an expectancy, the look","come to them, a kind of guarantee, an expectancy, the look",Metaphor?
expectancy,noun,3.09e-06,0.9806016417897588,prospect,0.8165199098531384,D.H. Lawrence,30,The Rainbow,1915,"them, a kind of surety, an expectancy, the look of an","them, a kind of surety, an prospect, the look of an",Metaphor?
blond,noun,3.55e-06,0.9793976077237977,golden,0.8301359413311662,D.H. Lawrence,30,The Rainbow,1915,"They were fresh, blond, slow-speaking people, revealing themselves plainly, but slowly,","They were fresh, golden, slow-speaking people, revealing themselves plainly, but slowly,",Metaphor?
plainly,adverb,2.4e-06,0.9923467511331016,simple,0.8581101212300034,D.H. Lawrence,30,The Rainbow,1915,"fresh, blond, slow-speaking people, revealing themselves plainly, but slowly, so that","fresh, blond, slow-speaking people, revealing themselves simple, but slowly, so that",Metaphor?
circumstances,noun,4.57e-06,0.9783659623830722,chances,0.8582126168509231,D.H. Lawrence,30,The Rainbow,1915,it was to be in straitened circumstances. They had never become,it was to be in straitened chances. They had never become,Metaphor?
patrimony,noun,3.24e-07,0.9563250088468825,legacy,0.8017770148651107,D.H. Lawrence,30,The Rainbow,1915,"there were always children, and the patrimony was divided every time.","there were always children, and the legacy was divided every time.",Metaphor?
thriftless,adjective,0.0,0.9585745911586858,high-rolling,0.8039070678734889,D.H. Lawrence,30,The Rainbow,1915,of the money. Neither were they thriftless. They were aware of,of the money. Neither were they high-rolling. They were aware of,Metaphor?
teeming,adjective,8.71e-07,0.9784457416191645,thick,0.789597551634827,D.H. Lawrence,30,The Rainbow,1915,"cattle. But heaven and earth was teeming around them, and how","cattle. But heaven and earth was thick around them, and how",Metaphor?
sap,noun,3.98e-06,0.9616322051628982,health,0.824819459717607,D.H. Lawrence,30,The Rainbow,1915,"They felt the rush of the sap in spring, they knew","They felt the rush of the health in spring, they knew",Metaphor?
