word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
silky,adjective,1.82e-06,0.9915524945306265,soft,0.8641529269095578,D.H. Lawrence,35,Women in Love,1920,"She wore a dress of dark-blue silky stuff, with ruches of","She wore a dress of dark-blue soft stuff, with ruches of",Metaphor?
stockings,noun,3.09e-06,0.9797786409299829,haves,0.800366543328903,D.H. Lawrence,35,Women in Love,1920,and sleeves; and she had emerald-green stockings. Her look of confidence,and sleeves; and she had emerald-green haves. Her look of confidence,Metaphor?
expectancy,noun,3.09e-06,0.9950322570014116,prospect,0.8165199098531384,D.H. Lawrence,35,Women in Love,1920,"and diffidence contrasted with Ursula's sensitive expectancy. The provincial people, intimidated","and diffidence contrasted with Ursula's sensitive prospect. The provincial people, intimidated",Metaphor?
intimidated,adjective,2.75e-06,0.9895947154564408,strong-armed,0.8184609858586585,D.H. Lawrence,35,Women in Love,1920,"Ursula's sensitive expectancy. The provincial people, intimidated by Gudrun's perfect sang-froid","Ursula's sensitive expectancy. The provincial people, strong-armed by Gudrun's perfect sang-froid",Metaphor?
sang-froid,noun,7.04e-08,0.9874836474709379,self-possession,0.7908711018649002,D.H. Lawrence,35,Women in Love,1920,"provincial people, intimidated by Gudrun's perfect sang-froid and exclusive bareness of","provincial people, intimidated by Gudrun's perfect self-possession and exclusive bareness of",Metaphor?
bareness,noun,1.95e-08,0.9845482111431048,raw,0.8033988491444819,D.H. Lawrence,35,Women in Love,1920,"by Gudrun's perfect sang-froid and exclusive bareness of manner, said of","by Gudrun's perfect sang-froid and exclusive raw of manner, said of",Metaphor?
contravened,verb,2e-07,0.9831879074325813,breached,0.8870116124889184,D.H. Lawrence,35,Women in Love,1920,"essential flame that is caught, meshed, contravened. She lived a good","essential flame that is caught, meshed, breached. She lived a good",Metaphor?
intimation,noun,1.62e-07,0.9916277393404398,indication,0.8601748917873533,D.H. Lawrence,35,Women in Love,1920,"she had a strange prescience, an intimation of something yet to","she had a strange prescience, an indication of something yet to",Metaphor?
infinitely,adverb,3.24e-06,0.9955558586896134,endless,0.9258384831128393,D.H. Lawrence,35,Women in Love,1920,"She thought Gudrun so CHARMING, so infinitely charming, in her softness","She thought Gudrun so CHARMING, so endless charming, in her softness",Metaphor?
softness,noun,9.77e-07,0.990358017843421,gentle,0.8494516526206559,D.H. Lawrence,35,Women in Love,1920,"CHARMING, so infinitely charming, in her softness and her fine, exquisite","CHARMING, so infinitely charming, in her gentle and her fine, exquisite",Metaphor?
