word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
cataclysm,noun,4.37e-07,0.9749175877329411,disaster,0.8739019806381355,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"to take it tragically. The cataclysm has happened, we are among","to take it tragically. The disaster has happened, we are among",Metaphor?
habitats,noun,3.09e-06,0.970788387323594,homes,0.8384812514635901,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"to build up new little habitats, to have new little hopes.","to build up new little homes, to have new little hopes.",Metaphor?
scramble,verb,2.45e-06,0.9825881894760959,climb,0.8280637164636026,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"but we go round, or scramble over the obstacles. We've got","but we go round, or climb over the obstacles. We've got",Metaphor?
marvellous,adjective,2.51e-06,0.9837722964862883,wonderful,0.9161895872142551,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"His hold on life was marvellous. He didn't die, and the","His hold on life was wonderful. He didn't die, and the",Metaphor?
forlorn,adjective,6.76e-07,0.9858703452037608,lonely,0.9100739427469148,D.H. Lawrence,43,Lady Chatterly's Lover,1928,married life in the rather forlorn home of the Chatterleys on,married life in the rather lonely home of the Chatterleys on,Metaphor?
Crippled,adjective,3.16e-06,0.9699503784527876,disabled,0.8461393797617034,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"was dead in the war. Crippled for ever, knowing he could","was dead in the war. disabled for ever, knowing he could",Metaphor?
downcast,adjective,2.51e-07,0.985821061942104,down,0.8597834495783331,D.H. Lawrence,43,Lady Chatterly's Lover,1928,He was not really downcast. He could wheel himself about in,He was not really down. He could wheel himself about in,Metaphor?
wheeled,adjective,2.29e-06,0.9753697206158931,rolled,0.8379611980438026,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"wheel himself about in a wheeled chair, and he had a","wheel himself about in a rolled chair, and he had a",Metaphor?
pretended,verb,3.72e-06,0.9926379963688341,acted,0.8391936196690337,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"really so proud, though he pretended to be flippant about it.","really so proud, though he acted to be flippant about it.",Metaphor?
flippant,adjective,3.89e-07,1.0000000000000002,flip,0.8248100456660346,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"really so proud, though he pretended to be flippant about it.","really so proud, though he pretended to be flippant about it.",Metaphor?
cheerful,adjective,3.98e-06,0.9903465645348547,bright,0.8457542364120226,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"remained strange and bright and cheerful, almost, one might say, chirpy,","remained strange and bright and brightly, almost, one might say, chirpy,",Metaphor?
ruddy,adjective,1.02e-06,0.9887209720793726,red,0.856934582858412,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"might say, chirpy, with his ruddy, healthy-looking face, and his pale-blue,","might say, chirpy, with his red, healthy-looking face, and his pale-blue,",Metaphor?
expensively,adverb,1.82e-07,0.991375150649433,high,0.8119417123797849,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"were very strong. He was expensively dressed, and wore handsome neckties","were very strong. He was highly dressed, and wore handsome neckties",Metaphor?
watchful,adjective,1.23e-06,0.9639245463422301,alert,0.8259965073873876,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"his face one saw the watchful look, the slight vacancy of","his face one saw the alert look, the slight vacancy of",Metaphor?
ruddy,adjective,1.02e-06,0.9857834822506606,red,0.856934582858412,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"Constance, his wife, was a ruddy, country-looking girl with soft brown","Constance, his wife, was a red, country-looking girl with soft brown",Metaphor?
sturdy,adjective,2.75e-06,0.9907842032975259,tough,0.8868302398899552,D.H. Lawrence,43,Lady Chatterly's Lover,1928,"with soft brown hair and sturdy body, and slow movements, full","with soft brown hair and tough body, and slow movements, full",Metaphor?
