word,part_of_speech,frequency,similarity,synonym,syn_frequency,syn_sim,author,age,book,year,sentence,modified,sentence_type
luxurious,adjective,3.55e-06,0.9937131966920589,2.24e-05,,0.8137821794580259,Vladimir Nabokov,56,Lolita,1955,glossy-blue picture-postcards. He owned a luxurious hotel on the Riviera. His,glossy-blue picture-postcards. He owned a palatial hotel on the Riviera. His,Metaphor?
grandfathers,noun,6.61e-07,0.9858063056672478,1.2e-05,,0.8929447503833736,Vladimir Nabokov,56,Lolita,1955,"Riviera. His father and two grandfathers had sold wine, jewels and","Riviera. His father and two fathers had sold wine, jewels and",Metaphor?
jewels,noun,3.89e-06,0.9921544238293336,2.4e-05,,0.8486602351642686,Vladimir Nabokov,56,Lolita,1955,"two grandfathers had sold wine, jewels and silk, respectively. At thirty","two grandfathers had sold wine, rocks and silk, respectively. At thirty",Metaphor?
darkest,adjective,3.8e-06,0.9837616307959078,0.000288,,0.815200691566132,Vladimir Nabokov,56,Lolita,1955,"pocket of warmth in the darkest past, nothing of her subsists","pocket of warmth in the black past, nothing of her subsists",Metaphor?
subsists,verb,7.94e-08,0.9874684520848186,3.02e-05,,0.8285600971588301,Vladimir Nabokov,56,Lolita,1955,"darkest past, nothing of her subsists within the hollows and dells","darkest past, nothing of her exists within the hollows and dells",Metaphor?
hollows,noun,5.5e-07,0.9861593290080826,2.24e-05,,0.8737555962897849,Vladimir Nabokov,56,Lolita,1955,"of her subsists within the hollows and dells of memory, over","of her subsists within the holes and dells of memory, over",Metaphor?
redolent,adjective,1.95e-07,0.9728197754463829,8.13e-05,,0.8000398313173758,Vladimir Nabokov,56,Lolita,1955,"surely, you all know those redolent remnants of day suspended, with","surely, you all know those sweet remnants of day suspended, with",Metaphor?
remnants,noun,3.24e-06,0.989374966297927,6.31e-05,,0.9142039698058088,Vladimir Nabokov,56,Lolita,1955,"you all know those redolent remnants of day suspended, with the","you all know those redolent remains of day suspended, with the",Metaphor?
traversed,verb,8.51e-07,0.9904525657410725,2.24e-05,,0.8822386968833729,Vladimir Nabokov,56,Lolita,1955,"bloom or suddenly entered and traversed by the rambler, at the","bloom or suddenly entered and crossed by the rambler, at the",Metaphor?
dusk,noun,2.75e-06,0.9944159118381989,7.24e-05,,0.877865548003694,Vladimir Nabokov,56,Lolita,1955,"a hill, in the summer dusk; a furry warmth, golden midges.","a hill, in the summer evening; a furry warmth, golden midges.",Metaphor?
furry,adjective,3.63e-06,0.9904322859535571,3.09e-05,,0.8337803917336244,Vladimir Nabokov,56,Lolita,1955,"a hill, in the summer dusk; a furry warmth, golden midges.","a hill, in the summer dusk; a rough warmth, golden midges.",Metaphor?
housekeeper,noun,1.95e-06,0.9962436397405714,0.000163,,0.9055340109329565,Vladimir Nabokov,56,Lolita,1955,kind of unpaid governess and housekeeper. Somebody told me later that,kind of unpaid governess and house girl. Somebody told me later that,Metaphor?
fullness,noun,1.07e-06,0.989418529838269,0.000148,,0.8060830761333723,Vladimir Nabokov,56,Lolita,1955,"make of me, in the fullness of time, a better widower","make of me, in the finally of time, a better widower",Metaphor?
complexion,noun,1.95e-06,0.9910504445480333,8.13e-05,,0.799085395549529,Vladimir Nabokov,56,Lolita,1955,azure eyes and a waxen complexion. She wrote poetry. She was,azure eyes and a waxen color. She wrote poetry. She was,Metaphor?
traveler,noun,3.72e-06,0.9896420725930889,1.58e-05,,0.9110780261334578,Vladimir Nabokov,56,Lolita,1955,"did. Her husband, a great traveler in perfumes, spent most of","did. Her husband, a great tourist in perfumes, spent most of",Metaphor?
vistas,noun,7.41e-07,0.996165169858607,6.76e-05,,0.8784231778496934,Vladimir Nabokov,56,Lolita,1955,"orange trees, friendly dogs, sea vistas and smiling faces. Around me","orange trees, friendly dogs, sea views and smiling faces. Around me",Metaphor?
revolved,verb,1e-06,0.9876876960496949,0.000123,,0.8476226771953883,Vladimir Nabokov,56,Lolita,1955,me the splendid Hotel Mirana revolved as a kind of private,me the splendid Hotel Mirana turned as a kind of private,Metaphor?
cosmos,noun,3.24e-06,0.9908533536884977,3.89e-05,,0.8795255209505917,Vladimir Nabokov,56,Lolita,1955,"of private universe, a whitewashed cosmos within the blue greater one","of private universe, a whitewashed universe within the blue greater one",Metaphor?
blazed,verb,7.41e-07,0.9837271854003988,2.04e-05,,0.8809225469777888,Vladimir Nabokov,56,Lolita,1955,the blue greater one that blazed outside. From the aproned pot-scrubber,the blue greater one that burned outside. From the aproned pot-scrubber,Metaphor?
petted,verb,2.69e-07,0.990552782951133,0.0001,,0.8417730315409815,Vladimir Nabokov,56,Lolita,1955,"potentate, everybody liked me, everybody petted me. Elderly American ladies leaning","potentate, everybody liked me, everybody loved me. Elderly American ladies leaning",Metaphor?
adored,verb,2.09e-06,0.9957790383301222,0.0001,,0.9137580915438712,Vladimir Nabokov,56,Lolita,1955,"and Les Miserables, and I adored and respected him and felt","and Les Miserables, and I loved and respected him and felt",Metaphor?
overheard,verb,2.51e-06,0.9741534969270856,1.62e-05,,0.8423101388162674,Vladimir Nabokov,56,Lolita,1955,glad for him whenever I overheard the servants discuss his various,glad for him whenever I listened in (on) the servants discuss his various,Metaphor?
cheerful,adjective,3.98e-06,0.9870737167727088,4.07e-05,,0.8457542364120226,Vladimir Nabokov,56,Lolita,1955,me and cooed and shed precious tears over my cheerful motherlessness.,me and cooed and shed precious tears over my bright motherlessness.,Metaphor?
solemn,adjective,2.57e-06,0.987332816330815,1.58e-05,,0.8270442488070612,Vladimir Nabokov,56,Lolita,1955,"my little Annabel) were: a solemn, decorous and purely theoretical talk","my little Annabel) were: a distinguished, decorous and purely theoretical talk",Metaphor?
decorous,adjective,9.55e-08,0.9952399693173746,5.25e-05,,0.831324092194423,Vladimir Nabokov,56,Lolita,1955,"little Annabel) were: a solemn, decorous and purely theoretical talk about","little Annabel) were: a solemn, proper and purely theoretical talk about",Metaphor?
seldom,adverb,4.27e-06,0.9995380802982885,2.63e-05,,0.9645443236700216,Vladimir Nabokov,56,Lolita,1955,celebrated motion-picture actress whom he seldom saw in the three-dimensional world;,celebrated motion-picture actress whom he rarely saw in the three-dimensional world;,Metaphor?
umbra,noun,2.45e-07,0.9751992313778048,1.45e-05,,0.8566140894897516,Vladimir Nabokov,56,Lolita,1955,"to certain photographs, pearl and umbra, with infinitely soft partings, in","to certain photographs, pearl and shade, with infinitely soft partings, in",Metaphor?
