word,part_of_speech,frequency,similarity,synonym,syn_frequency,syn_sim,author,age,book,year,sentence,modified,sentence_type
undress,verb,7.41e-07,0.9821473972953636,2.29e-05,,0.8357705565084528,Vladimir Nabokov,63,Pale Fire,1962,King sighed and began to undress. His camp bed and a,King sighed and began to strip. His camp bed and a,Metaphor?
discarded,verb,3.89e-06,0.990543722789692,2.85e-05,,0.9048972225178429,Vladimir Nabokov,63,Pale Fire,1962,and was off with the discarded pumps. The King's wandering gaze,and was off with the thrown out pumps. The King's wandering gaze,Metaphor?
dimly,adverb,6.17e-07,0.9849587044303371,0.00011,,0.862019946965912,Vladimir Nabokov,63,Pale Fire,1962,could see part of the dimly lit court where under an,could see part of the dark lit court where under an,Metaphor?
blindly,adverb,2.09e-06,0.9826378852748499,2.17e-05,,0.8686531268195223,Vladimir Nabokov,63,Pale Fire,1962,the bench a batlike moth blindly flapped - until the punter,the bench a batlike moth stone-blind flapped - until the punter,Metaphor?
flapped,verb,1.95e-07,0.9904881562919803,0.000102,,0.8061751753176086,Vladimir Nabokov,63,Pale Fire,1962,bench a batlike moth blindly flapped - until the punter knocked,bench a batlike moth blindly beat - until the punter knocked,Metaphor?
illumined,adjective,5.37e-08,0.9924363207413037,1.55e-05,,0.8295790263999586,Vladimir Nabokov,63,Pale Fire,1962,"The King yawned, and the illumined card players shivered and dissolved","The King yawned, and the lit card players shivered and dissolved",Metaphor?
gleam,noun,9.33e-07,0.9802085667094139,2.82e-05,,0.8009785896974421,Vladimir Nabokov,63,Pale Fire,1962,enough to put a bright gleam on the gilt key in,enough to put a bright flash on the gilt key in,Metaphor?
conflagration,noun,3.72e-07,0.9865757371826092,0.0002,,0.837187506438926,Vladimir Nabokov,63,Pale Fire,1962,that key caused a wonderful conflagration to spread in the prisoner's,that key caused a wonderful fire to spread in the prisoner's,Metaphor?
festive,adjective,3.8e-06,0.9761807486936285,1.17e-05,,0.8303186080128975,Vladimir Nabokov,63,Pale Fire,1962,of high-born families wore on festive occasions-of which we had so,of high-born families wore on sunny occasions-of which we had so,Metaphor?
attire,noun,3.09e-06,0.9954287023108465,2.95e-05,,0.9005331536791774,Vladimir Nabokov,63,Pale Fire,1962,cut-out figures and parts of attire as given in paper-doll charts,cut-out figures and parts of clothing as given in paper-doll charts,Metaphor?
brighten,verb,1.78e-06,0.9889882173355012,1.02e-05,,0.826350335192929,Vladimir Nabokov,63,Pale Fire,1962,armed with scissors. It would brighten a little these dark evenings,armed with scissors. It would cheer up a little these dark evenings,Metaphor?
evenings,noun,4.27e-06,0.9899865301759425,2.95e-05,,0.9238668314872146,Vladimir Nabokov,63,Pale Fire,1962,brighten a little these dark evenings that are destroying my brain.,brighten a little these dark nights that are destroying my brain.,Metaphor?
boyhood,noun,1.23e-06,0.9945529604011893,5.62e-05,,0.8639572863466584,Vladimir Nabokov,63,Pale Fire,1962,"handsome, long-legged specimens of Varangian boyhood. At twelve, Oleg was the","handsome, long-legged specimens of Varangian youth. At twelve, Oleg was the",Metaphor?
mist,noun,4.68e-06,0.978308125212628,1.41e-05,,0.8565457766197407,Vladimir Nabokov,63,Pale Fire,1962,"stripped and shiny in the mist of the bath house, his","stripped and shiny in the soup of the bath house, his",Metaphor?
foliage,noun,2.57e-06,0.9906284482654121,0.000135,,0.8248885084850939,Vladimir Nabokov,63,Pale Fire,1962,"copious shower lacquered the spring foliage of the palace garden, and","copious shower lacquered the spring greens of the palace garden, and",Metaphor?
tumbled,verb,1.02e-06,0.9938153845402823,7.08e-05,,0.8115057247019195,Vladimir Nabokov,63,Pale Fire,1962,"Persian lilacs in riotous bloom tumbled and tossed behind the green-streaming,","Persian lilacs in riotous bloom fell and tossed behind the green-streaming,",Metaphor?
assassinated,verb,2.45e-06,0.9794016579289133,0.000813,,0.84550749181283,Vladimir Nabokov,63,Pale Fire,1962,foreign potentate who had.recently been assassinated) which had amused Oleg and,foreign potentate who had.recently been knocked off) which had amused Oleg and,Metaphor?
retreating,verb,1.86e-06,0.9859452085651663,2.22e-05,,0.8515236429443357,Vladimir Nabokov,63,Pale Fire,1962,its tang at once before retreating into museum oblivion. What he,its tang at once before pulling out into museum oblivion. What he,Metaphor?
craved,verb,7.94e-07,0.9916411284927161,1.45e-05,,0.884798708881828,Vladimir Nabokov,63,Pale Fire,1962,"as a croquet case. He craved for it; his eyes, his","as a croquet case. He desired for it; his eyes, his",Metaphor?
corresponded,verb,1.1e-06,0.9842030275735305,0.000135,,0.8036060771214151,Vladimir Nabokov,63,Pale Fire,1962,that in his brain which corresponded to the ball of his,that in his brain which matched to the ball of his,Metaphor?
vividly,adverb,1.82e-06,0.991955732231579,3.16e-05,,0.851171959788051,Vladimir Nabokov,63,Pale Fire,1962,"the ball of his thumb, vividly remembered the brown boy acrobats","the ball of his thumb, visually remembered the brown boy acrobats",Metaphor?
nates,noun,6.76e-08,0.9778667649841557,0.000195,,0.7648680067919571,Vladimir Nabokov,63,Pale Fire,1962,"brown boy acrobats with spangled nates, an elegant and melancholy clown","brown boy acrobats with spangled behind, an elegant and melancholy clown",Metaphor?
melancholy,adjective,2.45e-06,0.9905384576342564,6.92e-05,,0.8456733058620931,Vladimir Nabokov,63,Pale Fire,1962,"spangled nates, an elegant and melancholy clown with a ruff, and","spangled nates, an elegant and sad clown with a ruff, and",Metaphor?
versatile,adjective,4.57e-06,0.9819740663245278,0.0005,,0.8644373481247887,Vladimir Nabokov,63,Pale Fire,1962,of polished wood with such versatile joints that you could make,of polished wood with such all-around joints that you could make,Metaphor?
jumbo,adjective,2.4e-06,0.9737213984376296,4.17e-05,,0.8982663965685073,Vladimir Nabokov,63,Pale Fire,1962,you could make the sleek jumbo stand upright on one foreleg,you could make the sleek gigantic stand upright on one foreleg,Metaphor?
