word,part_of_speech,frequency,similarity,synonym,syn_frequency,syn_sim,author,age,book,year,sentence,modified,sentence_type
repentance,noun,1.55e-06,0.9648661668314535,2.34e-05,,0.8792547633065201,John Updike,28,"Rabbit, Run",1960,last decides. He is all repentance. I'll run over and get,last decides. He is all regret. I'll run over and get,Metaphor?
Indignation,noun,1.2e-06,0.9718524057704357,2.63e-05,,0.8293197436926416,John Updike,28,"Rabbit, Run",1960,care of other people's kids? Indignation rises in him again at,care of other people's kids? anger rises in him again at,Metaphor?
medallions,noun,4.47e-07,0.980688154899641,5.37e-05,,0.7934952209329914,John Updike,28,"Rabbit, Run",1960,"they used. Pipe-framed bed, silver medallions in the wallpaper; a view","they used. Pipe-framed bed, silver orders in the wallpaper; a view",Metaphor?
lugging,verb,3.72e-07,0.9818403649580887,4.07e-05,,0.8027282748597895,John Updike,28,"Rabbit, Run",1960,on her pocket and he lugging easy chairs and maple end,on her pocket and he packed easy chairs and maple end,Metaphor?
hammering,verb,1.55e-06,0.9877795990922176,2.69e-05,,0.8813231270955674,John Updike,28,"Rabbit, Run",1960,"around on the floor above, hammering apart packing crates from nine","around on the floor above, beating apart packing crates from nine",Metaphor?
itch,noun,2.29e-06,0.9713101843016924,1.29e-05,,0.8516981040273724,John Updike,28,"Rabbit, Run",1960,"from nine to five, the itch of the packing excelsior getting","from nine to five, the urge of the packing excelsior getting",Metaphor?
bins,noun,2.69e-06,0.9810906429616477,2.19e-05,,0.9173459523844425,John Updike,28,"Rabbit, Run",1960,"That filthy black crescent of bins behind the elevators, the floor","That filthy black crescent of boxes behind the elevators, the floor",Metaphor?
dandy,noun,1.78e-06,0.9748348650430697,6.46e-05,,0.8351150193101762,John Updike,28,"Rabbit, Run",1960,palms black and Chandler the dandy mincing in every hour on,palms black and Chandler the dude mincing in every hour on,Metaphor?
lather,noun,5.25e-07,0.9872299077267261,0.000324,,0.7781530369404597,John Updike,28,"Rabbit, Run",1960,the furniture. Lava soap. It's lather was gray. His hands grew,the furniture. Lava soap. It's head was gray. His hands grew,Metaphor?
chained,adjective,2.34e-06,0.975826872853149,2.88e-05,,0.8474219872538364,John Updike,28,"Rabbit, Run",1960,"would meet by the doors, chained to keep customers out, a","would meet by the doors, bound to keep customers out, a",Metaphor?
bodiless,adjective,3.89e-08,0.9749743741078599,2.51e-05,,0.8112602663488758,John Updike,28,"Rabbit, Run",1960,the shallow side windows the bodiless mannequin heads in their feathered,the shallow side windows the spiritual mannequin heads in their feathered,Metaphor?
mannequin,noun,1.15e-06,0.9841214566593057,0.000117,,0.8326074633326217,John Updike,28,"Rabbit, Run",1960,shallow side windows the bodiless mannequin heads in their feathered hats,shallow side windows the bodiless figures heads in their feathered hats,Metaphor?
dim,adjective,4.17e-06,0.9919125146337943,0.00011,,0.8501570136246862,John Updike,28,"Rabbit, Run",1960,"in this chamber, with the dim light and green floor like","in this chamber, with the dark light and green floor like",Metaphor?
medallions,noun,4.47e-07,0.9592683968213497,5.37e-05,,0.7934952209329914,John Updike,28,"Rabbit, Run",1960,"going there, toward the silver medallions, hand in hand tired walking","going there, toward the silver orders, hand in hand tired walking",Metaphor?
neatness,noun,1.55e-07,0.9387306969248457,5.14e-05,,0.7965392873646825,John Updike,28,"Rabbit, Run",1960,around here who cares about neatness. The clutter behind him in,around here who cares about pickups. The clutter behind him in,Metaphor?
clutter,noun,1.62e-06,0.9543924974142803,2.15e-05,,0.8122600228209891,John Updike,28,"Rabbit, Run",1960,who cares about neatness. The clutter behind him in the room,who cares about neatness. The grab bag behind him in the room,Metaphor?
dregs,noun,4.17e-07,0.993211652542542,1.74e-05,,0.7818330744716145,John Updike,28,"Rabbit, Run",1960,"Oldfashioned glass with its corrupt dregs, the choked ashtray balanced on","Oldfashioned glass with its corrupt deposit, the choked ashtray balanced on",Metaphor?
choked,verb,3.39e-06,0.9860588286546715,2.04e-05,,0.8327224823766227,John Updike,28,"Rabbit, Run",1960,"with its corrupt dregs, the choked ashtray balanced on the easy-chair","with its corrupt dregs, the blocked ashtray balanced on the easy-chair",Metaphor?
stacks,noun,3.09e-06,0.9860949641796988,2.88e-05,,0.825139515080066,John Updike,28,"Rabbit, Run",1960,"the rumpled rug, the floppy stacks of slippery newspapers, the kid's","the rumpled rug, the floppy hills of slippery newspapers, the kid's",Metaphor?
jammed,verb,2.19e-06,0.9895305225246933,4.79e-05,,0.8727135873029745,John Updike,28,"Rabbit, Run",1960,"there broken and stuck and jammed, a leg off a doll","there broken and stuck and stuck, a leg off a doll",Metaphor?
fuzz,noun,1.15e-06,0.9890737908216787,1.07e-05,,0.8392201436882629,John Updike,28,"Rabbit, Run",1960,"breakfast-box cutout, the rolls of fuzz under the radiators, the continual","breakfast-box cutout, the rolls of fur under the radiators, the continual",Metaphor?
continual,adjective,2.24e-06,0.990087059010972,0.000748,,0.8357767582298841,John Updike,28,"Rabbit, Run",1960,"fuzz under the radiators, the continual crisscrossing mess clings to his","fuzz under the radiators, the on-and-off crisscrossing mess clings to his",Metaphor?
clings,verb,7.59e-07,0.9918037870648063,1.38e-05,,0.8244310449446576,John Updike,28,"Rabbit, Run",1960,"radiators, the continual crisscrossing mess clings to his back like a","radiators, the continual crisscrossing mess sticking to his back like a",Metaphor?
hag,noun,9.33e-07,0.9881444129556668,1.29e-05,,0.8256224215152186,John Updike,28,"Rabbit, Run",1960,you miserable nickel-hugger? You fat hag. You old gypsy. If he,you miserable nickel-hugger? You fat witches. You old gypsy. If he,Metaphor?
trooper,noun,2.63e-06,0.9888429677702645,2.88e-05,,0.9024111541496539,John Updike,28,"Rabbit, Run",1960,"Two-and-a-half, Nelson walks like a trooper, with choppy stubborn steps. They'd","Two-and-a-half, Nelson walks like a soldier, with choppy stubborn steps. They'd",Metaphor?
