word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
cottages,noun,2.57e-06,0.9768072318465484,camps,0.8666140904484138,D.H. Lawrence,28,Sons and Lovers,1913,"a block of thatched, bulging cottages that stood by the brookside","a block of thatched, bulging camps that stood by the brookside",Metaphor?
scarcely,adverb,2.14e-06,0.9974849085361945,hardly,0.952765120473355,D.H. Lawrence,28,Sons and Lovers,1913,"ran under the alder trees, scarcely soiled by these small mines,","ran under the alder trees, hardly soiled by these small mines,",Metaphor?
soiled,adjective,9.33e-07,0.9913548053807771,dirty,0.8820567619041245,D.H. Lawrence,28,Sons and Lovers,1913,"under the alder trees, scarcely soiled by these small mines, whose","under the alder trees, scarcely dirty by these small mines, whose",Metaphor?
mounds,noun,1.66e-06,0.976242422733139,banks,0.7887695495520318,D.H. Lawrence,28,Sons and Lovers,1913,"into the earth, making queer mounds and little black places among","into the earth, making queer banks and little black places among",Metaphor?
cottages,noun,2.57e-06,0.9847911606106818,camps,0.8666140904484138,D.H. Lawrence,28,Sons and Lovers,1913,"and the meadows. And the cottages of these coal-miners, in blocks","and the meadows. And the camps of these coal-miners, in blocks",Metaphor?
elbowed,verb,2.82e-07,0.984811901621093,pressed,0.8189108787106131,D.H. Lawrence,28,Sons and Lovers,1913,took place. The gin-pits were elbowed aside by the large mines,took place. The gin-pits were pushed aside by the large mines,Metaphor?
quadrangles,noun,6.31e-08,0.9836953066569512,yards,0.8126237265415405,D.H. Lawrence,28,Sons and Lovers,1913,"Co. built the Squares, great quadrangles of dwellings on the hillside","Co. built the Squares, great yards of dwellings on the hillside",Metaphor?
dwellings,noun,2.4e-06,0.9947022366915828,houses,0.8540621630993841,D.H. Lawrence,28,Sons and Lovers,1913,"the Squares, great quadrangles of dwellings on the hillside of Bestwood,","the Squares, great quadrangles of houses on the hillside of Bestwood,",Metaphor?
dwellings,noun,2.4e-06,0.9938130780735366,houses,0.8540621630993841,D.H. Lawrence,28,Sons and Lovers,1913,"of six blocks of miners' dwellings, two rows of three, like","of six blocks of miners' houses, two rows of three, like",Metaphor?
dwellings,noun,2.4e-06,0.9849611544392781,homes,0.8368826254685738,D.H. Lawrence,28,Sons and Lovers,1913,block. This double row of dwellings sat at the foot of,block. This double row of homes sat at the foot of,Metaphor?
hedges,noun,1.86e-06,0.9941882342159047,walls,0.8352442986774644,D.H. Lawrence,28,Sons and Lovers,1913,"windows, little porches, little privet hedges, and dormer windows for the","windows, little porches, little privet walls, and dormer windows for the",Metaphor?
inward,adverb,2.34e-06,0.9902612086101604,inside,0.867400365076149,D.H. Lawrence,28,Sons and Lovers,1913,"back of the house, facing inward between the blocks, looking at","back of the house, facing inside between the blocks, looking at",Metaphor?
scrubby,adjective,2.04e-07,0.9726043606543352,beat-up,0.8329764431409242,D.H. Lawrence,28,Sons and Lovers,1913,"the blocks, looking at a scrubby back garden, and then at","the blocks, looking at a beat-up back garden, and then at",Metaphor?
gossiped,verb,9.77e-08,0.9870667579375407,talked,0.8663785800699445,D.H. Lawrence,28,Sons and Lovers,1913,"children played and the women gossiped and the men smoked. So,","children played and the women talked and the men smoked. So,",Metaphor?
aristocracy,noun,1.62e-06,0.9804429955318847,upper class,0.8796132197916304,D.H. Lawrence,28,Sons and Lovers,1913,she enjoyed a kind of aristocracy among the other women of,she enjoyed a kind of upper class among the other women of,Metaphor?
superiority,noun,3.89e-06,0.9848469640503387,distinction,0.8265908271699524,D.H. Lawrence,28,Sons and Lovers,1913,shillings a week. But this superiority in station was not much,shillings a week. But this distinction in station was not much,Metaphor?
consolation,noun,3.47e-06,0.9965572070447595,comfort,0.8897577617791709,D.H. Lawrence,28,Sons and Lovers,1913,this superiority in station was not much consolation to Mrs. Morel.,this superiority in station was not much comfort to Mrs. Morel.,Metaphor?
resolute,adjective,1.32e-06,0.9929217416382238,determined,0.862258653347211,D.H. Lawrence,28,Sons and Lovers,1913,"woman, of delicate mould but resolute bearing, she shrank a little","woman, of delicate mould but determined bearing, she shrank a little",Metaphor?
whine,verb,1.91e-06,0.9832153888155376,complain,0.8958016470863112,D.H. Lawrence,28,Sons and Lovers,1913,"who was only five, to whine all morning to go also.","who was only five, to complained all morning to go also.",Metaphor?
scarcely,adverb,2.14e-06,0.9971160760543836,hardly,0.952765120473355,D.H. Lawrence,28,Sons and Lovers,1913,"Morel did her work. She scarcely knew her neighbours yet, and","Morel did her work. She hardly knew her neighbours yet, and",Metaphor?
freckled,adjective,2.29e-07,0.9828606958034755,spotted,0.8518305063287731,D.H. Lawrence,28,Sons and Lovers,1913,"a very active lad, fair-haired, freckled, with a touch of the","a very active lad, fair-haired, spotty, with a touch of the",Metaphor?
fading,verb,4.07e-06,0.9694682492602251,flying,0.8342077520635768,D.H. Lawrence,28,Sons and Lovers,1913,"When the light was fading, and Mrs. Morel could see no","When the light was flying, and Mrs. Morel could see no",Metaphor?
gossiping,verb,6.17e-07,0.9839020873511969,talking,0.8866621907346945,D.H. Lawrence,28,Sons and Lovers,1913,alone. The stay-at-home mothers stood gossiping at the corners of the,alone. The stay-at-home mothers stood talking at the corners of the,Metaphor?
wretched,adjective,2.34e-06,0.9899256129522443,miserable,0.9214008233339575,D.H. Lawrence,28,Sons and Lovers,1913,and stable. But she felt wretched with the coming child. The,and stable. But she felt miserable with the coming child. The,Metaphor?
dreary,adjective,1.2e-06,0.9806394027857338,dark,0.806468992734682,D.H. Lawrence,28,Sons and Lovers,1913,"child. The world seemed a dreary place, where nothing else would","child. The world seemed a gray place, where nothing else would",Metaphor?
dreary,adjective,1.2e-06,0.9888911795255122,miserable,0.8707146174355933,D.H. Lawrence,28,Sons and Lovers,1913,"for herself, nothing but this dreary endurance--till the children grew up.","for herself, nothing but this miserable endurance--till the children grew up.",Metaphor?
swilling,verb,1.35e-07,0.9917356537236988,drinking,0.8836824313950095,D.H. Lawrence,28,Sons and Lovers,1913,"beer in a public house, swilling himself drunk. She despised him,","beer in a public house, drinking himself drunk. She despised him,",Metaphor?
meanness,noun,2.95e-07,0.9726915385281474,cheap,0.8045877055457856,D.H. Lawrence,28,Sons and Lovers,1913,"sick of it, the struggle with poverty and ugliness and meanness.","sick of it, the struggle with poverty and ugliness and cheapness.",Metaphor?
soothe,verb,1.51e-06,0.989269711906312,comfort,0.8319946566727298,D.H. Lawrence,28,Sons and Lovers,1913,"There she stood, trying to soothe herself with the scent of","There she stood, trying to comfort herself with the scent of",Metaphor?
uphill,adverb,2.4e-06,0.9838620794141699,hill,0.8437884762040483,D.H. Lawrence,28,Sons and Lovers,1913,"was the stile that led uphill, under the tall hedge between","was the stile that led downhill, under the tall hedge between",Metaphor?
pastures,noun,1.74e-06,0.9747584119828844,ranges,0.8076974880289257,D.H. Lawrence,28,Sons and Lovers,1913,burning glow of the cut pastures. The sky overhead throbbed and,burning glow of the cut ranges. The sky overhead throbbed and,Metaphor?
pulsed,verb,6.92e-07,0.9934098839584036,beat,0.7937207817845072,D.H. Lawrence,28,Sons and Lovers,1913,The sky overhead throbbed and pulsed with light. The glow sank,The sky overhead throbbed and beat with light. The glow sank,Metaphor?
hedges,noun,1.86e-06,0.9775843739441837,walls (in),0.8183757096257352,D.H. Lawrence,28,Sons and Lovers,1913,field; the earth and the hedges smoked dusk. As it grew,field; the earth and the walls smoked dusk. As it grew,Metaphor?
dusk,noun,2.75e-06,0.9891733670537604,evening,0.877865548003694,D.H. Lawrence,28,Sons and Lovers,1913,"earth and the hedges smoked dusk. As it grew dark, a","earth and the hedges smoked evenings. As it grew dark, a",Metaphor?
ruddy,adjective,1.02e-06,0.9740821599686209,red,0.856934582858412,D.H. Lawrence,28,Sons and Lovers,1913,"As it grew dark, a ruddy glare came out on the","As it grew dark, a red glare came out on the",Metaphor?
glare,noun,2.29e-06,0.9808714273448587,flame,0.8642154868807399,D.H. Lawrence,28,Sons and Lovers,1913,"it grew dark, a ruddy glare came out on the hilltop,","it grew dark, a ruddy flame came out on the hilltop,",Metaphor?
glare,noun,2.29e-06,0.9700869583471635,flame,0.8642154868807399,D.H. Lawrence,28,Sons and Lovers,1913,"hilltop, and out of the glare the diminished commotion of the","hilltop, and out of the flames the diminished commotion of the",Metaphor?
diminished,adjective,4.68e-06,0.9904633536811215,reduced,0.9051245136883744,D.H. Lawrence,28,Sons and Lovers,1913,and out of the glare the diminished commotion of the fair.,and out of the glare the reduced commotion of the fair.,Metaphor?
commotion,noun,1.35e-06,0.976156710050789,do,0.77748699295154,D.H. Lawrence,28,Sons and Lovers,1913,and out of the glare the diminished commotion of the fair.,and out of the glare the diminished do of the fair.,Metaphor?
hedges,noun,1.86e-06,0.9818639537344527,barriers,0.8299807412374389,D.H. Lawrence,28,Sons and Lovers,1913,"by the path under the hedges, men came lurching home. One","by the path under the barriers, men came lurching home. One",Metaphor?
pathetically,adverb,4.57e-07,0.9885450507874116,sad,0.8508194942487559,D.H. Lawrence,28,Sons and Lovers,1913,"himself up, swearing viciously, rather pathetically, as if he thought the","himself up, swearing viciously, rather sadly, as if he thought the",Metaphor?
girlhood,noun,1.66e-07,0.9507743107137646,miss,0.8042724432468128,D.H. Lawrence,28,Sons and Lovers,1913,"so far away from her girlhood, she wondered if it were","so far away from her miss, she wondered if it were",Metaphor?
babble,noun,5.89e-07,0.9807398567782594,nonsense,0.8446204360670563,D.H. Lawrence,28,Sons and Lovers,1913,"tired, and sick of his babble, went to bed as quickly","tired, and sick of his nonsense, went to bed as quickly",Metaphor?
burgher,noun,1.35e-07,0.9624215685609044,citizen,0.8092084498030832,D.H. Lawrence,28,Sons and Lovers,1913,"came of a good old burgher family, famous independents who had","came of a good old citizen family, famous independents who had",Metaphor?
haughty,adjective,4.79e-07,0.9922475971890309,high-handed,0.8763393896645644,D.H. Lawrence,28,Sons and Lovers,1913,"was an engineer--a large, handsome, haughty man, proud of his fair","was an engineer--a large, handsome, high-handed man, proud of his fair",Metaphor?
unyielding,adjective,4.68e-07,0.9901900385050572,determined,0.8285170051508405,D.H. Lawrence,28,Sons and Lovers,1913,"But her temper, proud and unyielding, she had from the Coppards.","But her temper, proud and determined, she had from the Coppards.",Metaphor?
bitterly,adverb,1.95e-06,0.990232652234011,sadly,0.8570540706057671,D.H. Lawrence,28,Sons and Lovers,1913,George Coppard was bitterly galled by his own poverty. He became,George Coppard was sadly galled by his own poverty. He became,Metaphor?
galled,verb,3.55e-08,0.9956335098189872,put out,0.7785943682097253,D.H. Lawrence,28,Sons and Lovers,1913,George Coppard was bitterly galled by his own poverty. He became,George Coppard was bitterly put out by his own poverty. He became,Metaphor?
foreman,noun,3.8e-06,0.9758603256185865,head,0.7948780292868766,D.H. Lawrence,28,Sons and Lovers,1913,his own poverty. He became foreman of the engineers in the,his own poverty. He became head of the engineers in the,Metaphor?
defiant,adjective,1.62e-06,0.9915416487316939,contrary,0.7585594144707584,D.H. Lawrence,28,Sons and Lovers,1913,"she had the Coppards' clear, defiant blue eyes and their broad","she had the Coppards' clear, contrary blue eyes and their broad",Metaphor?
humorous,adjective,3.98e-06,0.9927380491346154,smart,0.8263103682818556,D.H. Lawrence,28,Sons and Lovers,1913,"overbearing manner towards her gentle, humorous, kindly-souled mother. She remembered running","overbearing manner towards her gentle, smart, kindly-souled mother. She remembered running",Metaphor?
petted,verb,2.69e-07,0.9690406699446598,loved,0.8417730315409815,D.H. Lawrence,28,Sons and Lovers,1913,She remembered to have been petted and flattered by all the,She remembered to have been loved and flattered by all the,Metaphor?
devote,verb,3.39e-06,0.9823372299761006,give up (to),0.8300659397929382,D.H. Lawrence,28,Sons and Lovers,1913,"to college in London, and was to devote himself to business.","to college in London, and was to give himself up to business.",Metaphor?
chinks,noun,1.91e-07,0.9778254509116515,checks,0.7955657904717532,D.H. Lawrence,28,Sons and Lovers,1913,The sun came through the chinks of the vine-leaves and made,The sun came through the checks of the vine-leaves and made,Metaphor?
erect,adjective,3.31e-06,0.9908956185349264,standing,0.8170340644579163,D.H. Lawrence,28,Sons and Lovers,1913,"old. He was well set-up, erect, and very smart. He had","old. He was well set-up, standing, and very smart. He had",Metaphor?
vigorous,adjective,2.88e-06,0.9893710551670158,vital,0.8733003376277604,D.H. Lawrence,28,Sons and Lovers,1913,"that shone again, and a vigorous black beard that had never","that shone again, and a vital black beard that had never",Metaphor?
ruddy,adjective,1.02e-06,0.9938235532465691,red,0.856934582858412,D.H. Lawrence,28,Sons and Lovers,1913,"been shaved. His cheeks were ruddy, and his red, moist mouth","been shaved. His cheeks were red, and his red, moist mouth",Metaphor?
heartily,adverb,8.13e-07,0.989153479153918,happily,0.8930726070302419,D.H. Lawrence,28,Sons and Lovers,1913,"laughed so often and so heartily. He had that rare thing,","laughed so often and so happily. He had that rare thing,",Metaphor?
ringing,adjective,4.79e-06,0.9894023271312574,round,0.834714170860071,D.H. Lawrence,28,Sons and Lovers,1913,"that rare thing, a rich, ringing laugh. Gertrude Coppard had watched","that rare thing, a rich, round laugh. Gertrude Coppard had watched",Metaphor?
grotesque,adjective,1.91e-06,0.9758790764643307,harsh,0.8122320227834857,D.H. Lawrence,28,Sons and Lovers,1913,"ran so easily into comic grotesque, he was so ready and","ran so easily into comic harshness, he was so ready and",Metaphor?
satiric,adjective,1.91e-07,0.9802288875945048,sharp,0.7966828977796302,D.H. Lawrence,28,Sons and Lovers,1913,"of humour, but it was satiric. This man's was different: soft,","of humour, but it was sharp. This man's was different: soft,",Metaphor?
gambolling,noun,2.04e-08,0.9553263631577443,sporting,0.8057606584557602,D.H. Lawrence,28,Sons and Lovers,1913,"This man's was different: soft, non-intellectual, warm, a kind of gambolling.","This man's was different: soft, non-intellectual, warm, a kind of sport.",Metaphor?
receptive,adjective,2.09e-06,0.9874012730255042,open,0.8207453854826854,D.H. Lawrence,28,Sons and Lovers,1913,"opposite. She had a curious, receptive mind which found much pleasure","opposite. She had a curious, open mind which found much pleasure",Metaphor?
bunches,noun,9.12e-07,0.9925535270652565,lots,0.8323526750767635,D.H. Lawrence,28,Sons and Lovers,1913,"a large brow, and dropping bunches of brown silk curls. Her","a large brow, and dropping lots of brown silk curls. Her",Metaphor?
subdued,adjective,2.34e-06,0.9889667149144747,quiet,0.8693422322980537,D.H. Lawrence,28,Sons and Lovers,1913,"Coppards. Her dress was always subdued. She wore dark blue silk,","Coppards. Her dress was always quietly. She wore dark blue silk,",Metaphor?
peculiar,adjective,4.68e-06,0.9970732104321943,strange,0.9072377305955237,D.H. Lawrence,28,Sons and Lovers,1913,"dark blue silk, with a peculiar silver chain of silver scallops.","dark blue silk, with a strange silver chain of silver scallops.",Metaphor?
fascination,noun,3.02e-06,0.991690386475485,appeal,0.8494969373803865,D.H. Lawrence,28,Sons and Lovers,1913,"that thing of mystery and fascination, a lady. When she spoke","that thing of mystery and appeal, a lady. When she spoke",Metaphor?
danced,verb,4.79e-06,0.9537206518564643,stepped,0.865758857911735,D.H. Lawrence,28,Sons and Lovers,1913,"hear. She watched him. He danced well, as if it were","hear. She watched him. He stepped well, as if it were",Metaphor?
joyous,adjective,2.14e-06,0.9779754184899877,happy,0.886013835432148,D.H. Lawrence,28,Sons and Lovers,1913,if it were natural and joyous in him to dance. His,if it were natural and happily in him to dance. His,Metaphor?
danced,verb,4.79e-06,0.9698934212726941,stepped,0.865758857911735,D.H. Lawrence,28,Sons and Lovers,1913,"the young miner as he danced, a certain subtle exultation like","the young miner as he stepped, a certain subtle exultation like",Metaphor?
glamour,noun,3.24e-06,0.9734206092616177,charm,0.866350144783635,D.H. Lawrence,28,Sons and Lovers,1913,"a certain subtle exultation like glamour in his movement, and his","a certain subtle exultation like charms in his movement, and his",Metaphor?
ruddy,adjective,1.02e-06,0.9863026323692835,red,0.856934582858412,D.H. Lawrence,28,Sons and Lovers,1913,"the flower of his body, ruddy, with tumbled black hair, and","the flower of his body, red, with tumbled black hair, and",Metaphor?
tumbled,verb,1.02e-06,0.9909817113454388,messed,0.8474443089675148,D.H. Lawrence,28,Sons and Lovers,1913,"of his body, ruddy, with tumbled black hair, and laughing alike","of his body, ruddy, with messed black hair, and laughing alike",Metaphor?
bowed,verb,2.14e-06,0.9730644855360444,hanging,0.8322424233214342,D.H. Lawrence,28,Sons and Lovers,1913,laughing alike whatever partner he bowed above. She thought him rather,laughing alike whatever partner he hung above. She thought him rather,Metaphor?
familiarity,noun,2.51e-06,0.9874149749982483,belonging,0.8356710778401365,D.H. Lawrence,28,Sons and Lovers,1913,"harsh in government, and in familiarity ironic; who ignored all sensuous","harsh in government, and in belonging ironic; who ignored all sensuous",Metaphor?
