word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
sluggishly,adverb,8.71e-08,0.9929222555267588,slow,0.8763474197448539,D.H. Lawrence,30,The Rainbow,1915,"meadows where the Erewash twisted sluggishly through alder trees, separating Derbyshire","meadows where the Erewash twisted slowly through alder trees, separating Derbyshire",Metaphor?
separating,verb,4.9e-06,0.9900860210768316,breaking up,0.8923332945542551,D.H. Lawrence,30,The Rainbow,1915,"twisted sluggishly through alder trees, separating Derbyshire from Nottinghamshire. Two miles","twisted sluggishly through alder trees, breaking up Derbyshire from Nottinghamshire. Two miles",Metaphor?
assiduously,adverb,2.75e-07,0.9899496376878705,actively,0.8235550562858001,D.H. Lawrence,30,The Rainbow,1915,the little country town climbing assiduously up to it. Whenever one,the little country town climbing actively up to it. Whenever one,Metaphor?
surety,noun,6.61e-07,0.9728265807020093,confidence,0.8538098815638494,D.H. Lawrence,30,The Rainbow,1915,"to them, a kind of surety, an expectancy, the look of","to them, a kind of confidence, an expectancy, the look of",Metaphor?
expectancy,noun,3.09e-06,0.9844434747392746,prospect,0.8165199098531384,D.H. Lawrence,30,The Rainbow,1915,"a kind of surety, an expectancy, the look of an inheritor.","a kind of surety, an prospect, the look of an inheritor.",Metaphor?
blond,adjective,3.55e-06,0.9793976077237977,golden,0.8301359413311662,D.H. Lawrence,30,The Rainbow,1915,"They were fresh, blond, slow-speaking people, revealing themselves plainly, but slowly,","They were fresh, golden, slow-speaking people, revealing themselves plainly, but slowly,",Metaphor?
plainly,adverb,2.4e-06,1.0000000000000002,plain,0.9094380808711869,D.H. Lawrence,30,The Rainbow,1915,"blond, slow-speaking people, revealing themselves plainly, but slowly, so that one","blond, slow-speaking people, revealing themselves plainly, but slowly, so that one",Metaphor?
patrimony,noun,3.24e-07,0.9643205509714814,heritage,0.8495531445001321,D.H. Lawrence,30,The Rainbow,1915,"were always children, and the patrimony was divided every time. But","were always children, and the heritage was divided every time. But",Metaphor?
thriftless,adjective,0.0,0.953934785445656,high-rolling,0.8039070678734889,D.H. Lawrence,30,The Rainbow,1915,the money. Neither were they thriftless. They were aware of the,the money. Neither were they high-rolling. They were aware of the,Metaphor?
teeming,verb,8.71e-07,0.9670036743419861,thick,0.789597551634827,D.H. Lawrence,30,The Rainbow,1915,"But heaven and earth was teeming around them, and how should","But heaven and earth was thickened around them, and how should",Metaphor?
sap,noun,3.98e-06,0.9683697893182386,go,0.8234226843579033,D.H. Lawrence,30,The Rainbow,1915,"felt the rush of the sap in spring, they knew the","felt the rush of the going in spring, they knew the",Metaphor?
intercourse,noun,3.98e-06,0.9755329754678052,interaction,0.8328764666403592,D.H. Lawrence,30,The Rainbow,1915,"the earth. They knew the intercourse between heaven and earth, sunshine","the earth. They knew the interaction between heaven and earth, sunshine",Metaphor?
daytime,noun,4.57e-06,0.9758641457427749,day,0.9091946374508499,D.H. Lawrence,30,The Rainbow,1915,"rain sucked up in the daytime, nakedness that comes under the","rain sucked up in the days, nakedness that comes under the",Metaphor?
nakedness,noun,3.63e-07,0.9471803794009415,altogether,0.7897304283523536,D.H. Lawrence,30,The Rainbow,1915,"sucked up in the daytime, nakedness that comes under the wind","sucked up in the daytime, altogether that comes under the wind",Metaphor?
