word,part_of_speech,frequency,similarity,synonym,syn_sim,author,age,book,year,sentence,modified,sentence_type
silky,adjective,1.82e-06,0.9880985855481649,soft,0.8641529269095578,D.H. Lawrence,35,Women in Love,1920,"wore a dress of dark-blue silky stuff, with ruches of blue","Wore a dress of dark-blue soft stuff, with ruches of blue",Metaphor?
stockings,noun,2.95e-06,0.9882716202005413,socks,0.8973965313940464,D.H. Lawrence,35,Women in Love,1920,sleeves; and she had emerald-green stockings. Her look of confidence and,sleeves; and she had emerald-green socks. Her look of confidence and,Metaphor?
expectancy,noun,3.09e-06,0.9948856627998873,prospect,0.8165199098531384,D.H. Lawrence,35,Women in Love,1920,"diffidence contrasted with Ursula's sensitive expectancy. The provincial people, intimidated by","diffidence contrasted with Ursula's sensitive prospect. The provincial people, intimidated by",Metaphor?
intimidated,adjective,2.75e-06,0.980320877611149,strong-armed,0.8184609858586585,D.H. Lawrence,35,Women in Love,1920,"sensitive expectancy. The provincial people, intimidated by Gudrun's perfect sang-froid and","sensitive expectancy. The provincial people, strong-armed by Gudrun's perfect sang-froid and",Metaphor?
bareness,noun,1.95e-08,0.9889989148787806,naked,0.8167991205428009,D.H. Lawrence,35,Women in Love,1920,"Gudrun's perfect sang-froid and exclusive bareness of manner, said of her:","Gudrun's perfect sang-froid and exclusive nakedness of manner, said of her:",Metaphor?
meshed,verb,2.75e-07,0.9874209426474843,caught up,0.8372937895619694,D.H. Lawrence,35,Women in Love,1920,"essential flame that is caught, meshed, contravened. She lived a good","essential flame that is caught, caught up, contravened. She lived a good",Metaphor?
intimation,noun,1.62e-07,0.9942983805572456,indication,0.8601748917873533,D.H. Lawrence,35,Women in Love,1920,"had a strange prescience, an intimation of something yet to come.","had a strange prescience, an indication of something yet to come.",Metaphor?
infinitely,adverb,3.24e-06,0.9960520429789609,endless,0.9258384831128393,D.H. Lawrence,35,Women in Love,1920,"thought Gudrun so CHARMING, so infinitely charming, in her softness and","thought Gudrun so CHARMING, so endlessly charming, in her softness and",Metaphor?
exquisite,adjective,4.07e-06,0.9981482089724584,fine,0.8604462217390699,D.H. Lawrence,35,Women in Love,1920,"her softness and her fine, exquisite richness of texture and delicacy","her softness and her fine, fine richness of texture and delicacy",Metaphor?
richness,noun,1.82e-06,0.9887255179597585,full,0.793675074793233,D.H. Lawrence,35,Women in Love,1920,"softness and her fine, exquisite richness of texture and delicacy of","softness and her fine, exquisite fullness of texture and delicacy of",Metaphor?
eagerly,adverb,3.09e-06,0.995096205085752,crazy,0.8764571650589309,D.H. Lawrence,35,Women in Love,1920,"'Yes!' cried Ursula, too eagerly, throwing aside her sewing and leaping","'Yes!' cried Ursula, too excited, throwing aside her sewing and leaping",Metaphor?
leaping,verb,1.7e-06,0.9930238801948059,jumping,0.9505191485733858,D.H. Lawrence,35,Women in Love,1920,"throwing aside her sewing and leaping up, as if to escape","throwing aside her sewing and jumped up, as if to escape",Metaphor?
betraying,verb,1.35e-06,0.9772082801145353,giving away,0.8083943700533021,D.H. Lawrence,35,Women in Love,1920,"if to escape something, thus betraying the tension of the situation","if to escape something, thus giving away the tension of the situation",Metaphor?
sordid,adjective,9.77e-07,0.9880605932249102,nasty,0.859663115037069,D.H. Lawrence,35,Women in Love,1920,"And she loathed it, the sordid, too-familiar place! She was afraid","And she loathed it, the nasty, too-familiar place! She was afraid",Metaphor?
milieu,noun,8.51e-07,0.9889319768042063,environment,0.8688509076146949,D.H. Lawrence,35,Women in Love,1920,"feeling against the home, the milieu, the whole atmosphere and condition","feeling against the home, the environment, the whole atmosphere and condition",Metaphor?
obsolete,adjective,4.47e-06,0.9905446473594482,out-of-date,0.8645179815234368,D.H. Lawrence,35,Women in Love,1920,atmosphere and condition of this obsolete life. Her feeling frightened her.,atmosphere and condition of this out-of-date life. Her feeling frightened her.,Metaphor?
swiftly,adverb,3.47e-06,1.0,swift,0.8944336875510265,D.H. Lawrence,35,Women in Love,1920,two girls were soon walking swiftly down the main road of,two girls were soon walking swiftly down the main road of,Metaphor?
sordid,adjective,9.77e-07,0.9907436458480926,low-down,0.7790897634477062,D.H. Lawrence,35,Women in Love,1920,"part dwelling-houses, utterly formless and sordid, without poverty. Gudrun, new from","part dwelling-houses, utterly formless and low-down, without poverty. Gudrun, new from",Metaphor?
sordid,adjective,9.77e-07,0.9906793219331721,dirty,0.8602092817979149,D.H. Lawrence,35,Women in Love,1920,"she went, through the whole sordid gamut of pettiness, the long","she went, through the whole dirty gamut of pettiness, the long",Metaphor?
gamut,noun,7.41e-07,0.9940844681544946,range,0.8295664067679237,D.H. Lawrence,35,Women in Love,1920,"went, through the whole sordid gamut of pettiness, the long amorphous,","went, through the whole sordid range of pettiness, the long amorphous,",Metaphor?
torment,noun,2.29e-06,0.9906408551914426,torture,0.9215559938937595,D.H. Lawrence,35,Women in Love,1920,on through a stretch of torment. It was strange that she,on through a stretch of torture. It was strange that she,Metaphor?
barren,adjective,2.51e-06,0.9934312611307773,bare,0.8498596058756184,D.H. Lawrence,35,Women in Love,1920,"full effect of this shapeless, barren ugliness upon herself. Why had","full effect of this shapeless, bare ugliness upon herself. Why had",Metaphor?
toiling,verb,4.27e-07,0.991041640877774,working,0.884206884934854,D.H. Lawrence,35,Women in Love,1920,She felt like a beetle toiling in the dust. She was,She felt like a beetle working in the dust. She was,Metaphor?
repulsion,noun,4.07e-07,0.9641350885913752,horror,0.8334813112132929,D.H. Lawrence,35,Women in Love,1920,a beetle toiling in the dust. She was filled with repulsion.,a beetle toiling in the dust. She was filled with horror.,Metaphor?
soiled,adjective,9.33e-07,0.9930043094759389,dirty,0.8820567619041245,D.H. Lawrence,35,Women in Love,1920,"black path through a dark, soiled field. On the left was","black path through a dark, dirty field. On the left was",Metaphor?
veil,noun,4.57e-06,0.98952249631667,covering,0.8417632089214353,D.H. Lawrence,35,Women in Love,1920,as if seen through a veil of crape. White and black,as if seen through a covering of crape. White and black,Metaphor?
dwellings,noun,2.4e-06,0.9894931822255608,houses,0.8540621630993841,D.H. Lawrence,35,Women in Love,1920,"came the long rows of dwellings, approaching curved up the hill-slope,","came the long rows of houses, approaching curved up the hill-slope,",Metaphor?
darkened,verb,1.35e-06,0.9818175560939647,closed in,0.8336950924319004,D.H. Lawrence,35,Women in Love,1920,"the hill. They were of darkened red brick, brittle, with dark","the hill. They were of closed in red brick, brittle, with dark",Metaphor?
brittle,adjective,1.91e-06,0.9848932971654047,short,0.8053950084760895,D.H. Lawrence,35,Women in Love,1920,"were of darkened red brick, brittle, with dark slate roofs. The","were of darkened red brick, short, with dark slate roofs. The",Metaphor?
roofs,noun,3.8e-06,0.9836628242999649,covers,0.8458868511079536,D.H. Lawrence,35,Women in Love,1920,"brick, brittle, with dark slate roofs. The path on which the","brick, brittle, with dark slate covers. The path on which the",Metaphor?
